regvalidfrom,Registrations
2000-01-01,37
2000-02-01,47
2000-03-01,41
2000-04-01,19
2000-05-01,9
2000-06-01,10
2000-07-01,16
2000-08-01,16
2000-09-01,12
2000-10-01,21
2000-11-01,23
2000-12-01,9
2001-01-01,24
2001-02-01,26
2001-03-01,24
2001-04-01,26
2001-05-01,19
2001-06-01,29
2001-07-01,31
2001-08-01,22
2001-09-01,25
2001-10-01,17
2001-11-01,20
2001-12-01,19
2002-01-01,26
2002-02-01,16
2002-03-01,24
2002-04-01,32
2002-05-01,31
2002-06-01,21
2002-07-01,31
2002-08-01,25
2002-09-01,25
2002-10-01,30
2002-11-01,21
2002-12-01,29
2003-01-01,34
2003-02-01,35
2003-03-01,40
2003-04-01,45
2003-05-01,41
2003-06-01,34
2003-07-01,50
2003-08-01,46
2003-09-01,56
2003-10-01,61
2003-11-01,58
2003-12-01,60
2004-01-01,101
2004-02-01,80
2004-03-01,83
2004-04-01,105
2004-05-01,83
2004-06-01,101
2004-07-01,113
2004-08-01,113
2004-09-01,149
2004-10-01,131
2004-11-01,202
2004-12-01,236
2005-01-01,350
2005-02-01,401
2005-03-01,364
2005-04-01,160
2005-05-01,73
2005-06-01,65
2005-07-01,61
2005-08-01,57
2005-09-01,70
2005-10-01,105
2005-11-01,92
2005-12-01,92
2006-01-01,112
2006-02-01,124
2006-03-01,137
2006-04-01,122
2006-05-01,133
2006-06-01,144
2006-07-01,140
2006-08-01,150
2006-09-01,136
2006-10-01,153
2006-11-01,227
2006-12-01,136
2007-01-01,176
2007-02-01,196
2007-03-01,231
2007-04-01,213
2007-05-01,208
2007-06-01,188
2007-07-01,220
2007-08-01,209
2007-09-01,202
2007-10-01,210
2007-11-01,248
2007-12-01,185
2008-01-01,230
2008-02-01,296
2008-03-01,259
2008-04-01,272
2008-05-01,325
2008-06-01,284
2008-07-01,334
2008-08-01,286
2008-09-01,277
2008-10-01,314
2008-11-01,361
2008-12-01,255
2009-01-01,423
2009-02-01,371
2009-03-01,472
2009-04-01,477
2009-05-01,477
2009-06-01,515
2009-07-01,577
2009-08-01,607
2009-09-01,625
2009-10-01,975
2009-11-01,911
2009-12-01,1012
2010-01-01,2217
2010-02-01,3778
2010-03-01,4263
2010-04-01,3614
2010-05-01,1382
2010-06-01,699
2010-07-01,567
2010-08-01,491
2010-09-01,515
2010-10-01,515
2010-11-01,563
2010-12-01,521
2011-01-01,589
2011-02-01,400
2011-03-01,821
2011-04-01,692
2011-05-01,605
2011-06-01,662
2011-07-01,606
2011-08-01,603
2011-09-01,281
2011-10-01,285
2011-11-01,1139
2011-12-01,718
2012-01-01,764
2012-02-01,669
2012-03-01,795
2012-04-01,784
2012-05-01,716
2012-06-01,767
2012-07-01,709
2012-08-01,705
2012-09-01,617
2012-10-01,614
2012-11-01,825
2012-12-01,695
2013-01-01,824
2013-02-01,690
2013-03-01,850
2013-04-01,796
2013-05-01,760
2013-06-01,796
2013-07-01,809
2013-08-01,707
2013-09-01,722
2013-10-01,741
2013-11-01,882
2013-12-01,730
2014-01-01,828
2014-02-01,715
2014-03-01,862
2014-04-01,788
2014-05-01,781
2014-06-01,787
2014-07-01,1125
2014-08-01,863
2014-09-01,996
2014-10-01,888
2014-11-01,1060
2014-12-01,771
2015-01-01,1030
2015-02-01,967
2015-03-01,920
2015-04-01,1021
2015-05-01,1021
2015-06-01,1140
2015-07-01,1074
2015-08-01,1028
2015-09-01,982
2015-10-01,997
2015-11-01,1174
2015-12-01,953
2016-01-01,1121
2016-02-01,1292
2016-03-01,1314
2016-04-01,1128
2016-05-01,1228
2016-06-01,1324
2016-07-01,1208
2016-08-01,1095
2016-09-01,1237
2016-10-01,1365
2016-11-01,1513
2016-12-01,1171
2017-01-01,1355
2017-02-01,1349
2017-03-01,1676
2017-04-01,1505
2017-05-01,1346
2017-06-01,1328
2017-07-01,1457
2017-08-01,1312
2017-09-01,1297
2017-10-01,1661
2017-11-01,1766
2017-12-01,1389
2018-01-01,1655
2018-02-01,1678
2018-03-01,1777
2018-04-01,1800
2018-05-01,1747
2018-06-01,1760
2018-07-01,1922
2018-08-01,1625
2018-09-01,1639
2018-10-01,1729
2018-11-01,2003
2018-12-01,1504
2019-01-01,1797
2019-02-01,1970
2019-03-01,2077
2019-04-01,1671
2019-05-01,1660
2019-06-01,1719
2019-07-01,1945
2019-08-01,1645
2019-09-01,1591
2019-10-01,1900
2019-11-01,2352
2019-12-01,1855
2020-01-01,2353
2020-02-01,2625
2020-03-01,4535
2020-04-01,3
2020-05-01,298
2020-06-01,959
2020-07-01,1096
2020-08-01,1081
2020-09-01,1747
2020-10-01,1480
2020-11-01,1854
2020-12-01,1857
2021-01-01,2000
2021-02-01,2259
2021-03-01,2301
2021-04-01,1734
2021-05-01,438
2021-06-01,1356
2021-07-01,1702
2021-08-01,1682
2021-09-01,1648
2021-10-01,1416
2021-11-01,1813
2021-12-01,1809
2022-01-01,1863
2022-02-01,1738
2022-03-01,1991
2022-04-01,1665
2022-05-01,1660
2022-06-01,1633
2022-07-01,1721
2022-08-01,1681
2022-09-01,1882
2022-10-01,1850
2022-11-01,2336
2022-12-01,1949
2023-01-01,2265
2023-02-01,1989
2023-03-01,2006
2023-04-01,1556
2023-05-01,1389
2023-06-01,1463
2023-07-01,1479
2023-08-01,1573
2023-09-01,1359
2023-10-01,1278
2023-11-01,1414
2023-12-01,1288
2024-01-01,1312
2024-02-01,1313
2024-03-01,1094
2024-04-01,905
2024-05-01,796
2024-06-01,734
2024-07-01,742
2024-08-01,630
2024-09-01,568
2024-10-01,630
2024-11-01,796
2024-12-01,790
2025-01-01,30563
2025-02-01,73905
2025-03-01,79193
2025-04-01,79093
